Weekly_Sales,Temperature
1611096.05,73.77
1573072.81,62.99
1493659.74,69.16
1917520.99,73.87
1900745.13,60.97
1834458.35,69.79
431985.36,75.19
410804.39,70.31
405432.7,74.66
2127661.17,67.64
2133026.07,57.11
2149594.46,63.64
333870.52,73.45
325345.41,66.24
319550.77,71.7
1517075.67,72.66
1459396.84,65.43
1431426.34,72.34
460397.41,48.54
503463.93,41.43
495543.28,42.53
920128.89,64.96
927511.99,55.03
891671.44,64.74
592572.3,70.94
558464.8,60.09
549731.49,69.52
1792345.3,76.03
1713889.11,76.03
1744349.05,70.5
1300147.07,75.13
1311965.09,69.94
1200729.45,74.26
1041995.22,77.27
934917.47,71.74
974697.6,65.95
2080764.17,56.47
1999079.44,55.1
2035189.66,46.97
1987531.05,61.24
1639585.61,54.47
1704357.62,58.85
579539.95,54.23
551799.63,49.12
558473.6,55.75
479855,53.57
491817.19,43.26
475770.14,40.99
944100.3,49.96
919878.34,44.82
943465.29,39.94
1060433.1,57.44
1074079,50.97
1127516.25,56.09
1442873.22,55.33
1352809.5,48.29
1322117.96,56.49
2168097.11,63.19
2162951.36,47.2
2031650.55,60.04
649945.54,74.14
653043.44,61.53
675202.87,70.5
997868.63,56.72
1004039.84,54.18
1094422.69,57.58
1321914.34,52.9
1412925.25,48.1
1347454.59,50.56
1355391.79,58.7
1416301.17,51.64
1307182.29,55.16
739866.16,59.21
697317.41,43.74
688940.94,56.69
1062548.73,47.11
1044639.69,45.19
958619.8,46.95
1674306.31,58.97
1660081.29,55.4
1703047.74,58.99
1264575.18,77.27
1205536.71,71.74
1213860.61,65.95
529707.87,56.72
513737,54.18
534970.68,57.58
436070.45,74.14
434593.26,61.53
439424.5,70.5
1392938.06,74.14
1401113.42,61.53
1340232.55,70.5
1187051.07,55.4
1176681.31,43.49
1219979.29,47.22
295841.84,81.02
291781.15,79.64
253731.13,73.7
949625.52,61.92
948613.39,59.94
956987.81,57.95
802383.63,58.97
873643.14,55.4
865137.6,58.99
330518.34,76.55
300236.85,71.28
272489.41,74.39
527983.04,76.55
521810.75,71.28
534738.43,74.39
429914.6,77.27
437320.66,71.74
417290.38,65.95
1470792.41,75.52
1494417.07,69.88
1569502,72.9
967729.35,52.06
982523.26,47.35
921264.52,49.65
1353285.1,50.22
1409544.97,39.38
1316542.59,41.8
643603.69,76.03
612379.9,76.03
514756.08,70.5
640159.04,67.59
619369.72,71.14
587603.55,69.17
341381.08,56.47
337796.13,55.1
361067.07,46.97
770487.37,61.24
734464.36,54.47
760281.43,58.85